fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2007 GMC 6.6L Duramax LLY/LBZ,2007-gmc-6-6l-duramax-lly-lbz,gid://shopify/Metaobject/279910580589,fitment_vehicle,,2026-01-31T01:09:05Z,2007,gmc,6.6L,duramax,LLY,"{""year"": ""2007"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LLY/LBZ"", ""display_name"": ""2007 GMC 6.6L Duramax LLY/LBZ""}"
2007.5 GMC 6.6L Duramax LMM,2007-5-gmc-6-6l-duramax-lmm,gid://shopify/Metaobject/279910646125,fitment_vehicle,,2026-01-31T01:09:06Z,2007,gmc,6.6L,duramax,LMM,"{""year"": ""2007.5"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2007.5 GMC 6.6L Duramax LMM""}"
2007 Dodge/Ram 5.9L Cummins,2007-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911760237,fitment_vehicle,,2026-01-31T01:09:25Z,2007,ram,5.9L,cummins,,"{""year"": ""2007"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2007 Dodge/Ram 5.9L Cummins""}"
2007.5 Dodge/Ram 6.7L Cummins,2007-5-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911793005,fitment_vehicle,,2026-01-31T01:09:25Z,2007,ram,6.7L,cummins,,"{""year"": ""2007.5"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2007.5 Dodge/Ram 6.7L Cummins""}"
2007 Sprinter 3.0L,2007-sprinter-3-0l,gid://shopify/Metaobject/279918477677,fitment_vehicle,,2026-01-31T01:11:20Z,2007,sprinter,3.0L,,,"{""year"": ""2007"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2007 Sprinter 3.0L""}"
2008 Chevrolet 6.6L Duramax LMM,2008-chevrolet-6-6l-duramax-lmm,gid://shopify/Metaobject/279910678893,fitment_vehicle,,2026-01-31T01:09:06Z,2008,chevrolet,6.6L,duramax,LMM,"{""year"": ""2008"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2008 Chevrolet 6.6L Duramax LMM""}"
2008 Ford 6.4L Powerstroke,2008-ford-6-4l-powerstroke,gid://shopify/Metaobject/279913038189,fitment_vehicle,,2026-01-31T01:09:47Z,2008,ford,6.4L,powerstroke,,"{""year"": ""2008"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.4L Powerstroke"", ""display_name"": ""2008 Ford 6.4L Powerstroke""}"
2008 GMC 6.6L Duramax LMM,2008-gmc-6-6l-duramax-lmm,gid://shopify/Metaobject/279910711661,fitment_vehicle,,2026-01-31T01:09:07Z,2008,gmc,6.6L,duramax,LMM,"{""year"": ""2008"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2008 GMC 6.6L Duramax LMM""}"
2008 Dodge/Ram 6.7L Cummins,2008-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911825773,fitment_vehicle,,2026-01-31T01:09:26Z,2008,ram,6.7L,cummins,,"{""year"": ""2008"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2008 Dodge/Ram 6.7L Cummins""}"
2008 Sprinter 3.0L,2008-sprinter-3-0l,gid://shopify/Metaobject/279918510445,fitment_vehicle,,2026-01-31T01:11:21Z,2008,sprinter,3.0L,,,"{""year"": ""2008"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2008 Sprinter 3.0L""}"
