collection_id,collection_gid,collection_title,collection_handle,type_label,type_key,fitment_label,year_start,year_end,make_key,family_key,liter,valve
634657145197,gid://shopify/Collection/634657145197,Automatic Transmission | 1989-1993 Ram 5.9 Cummins,c-109-1989-93-59l-dodge-cummins-automatic-transmission,Automatic Transmission,automatic transmission,1989-1993 Ram 5.9 Cummins,1989,1993,ram,cummins,,
634686243181,gid://shopify/Collection/634686243181,Automatic Transmission | 1992 - 2000 GM 6.5L Detroit,c-1992_2000_chevy_gmc_65l_automatic_transmission,Automatic Transmission,automatic transmission,1992 - 2000 GM 6.5L Detroit,1992,2000,gm,,6.5L,
634659897709,gid://shopify/Collection/634659897709,Automatic Transmission | 1994-1997 Ford 7.3 Powerstroke,c-211-1994-97-73l-ford-powerstroke-automatic-transmission,Automatic Transmission,automatic transmission,1994-1997 Ford 7.3 Powerstroke,1994,1997,ford,powerstroke,,
634657341805,gid://shopify/Collection/634657341805,Automatic Transmission | 1994-2002 Ram 5.9 Cummins,c-128-1994-02-59l-dodge-cummins-automatic-transmission,Automatic Transmission,automatic transmission,1994-2002 Ram 5.9 Cummins,1994,2002,ram,cummins,,
634659963245,gid://shopify/Collection/634659963245,Automatic Transmission | 1999-2003 Ford 7.3 Powerstroke,c-232-1999-03-73l-ford-powerstroke-automatic-transmission-upgrades,Automatic Transmission,automatic transmission,1999-2003 Ford 7.3 Powerstroke,1999,2003,ford,powerstroke,,
634661503341,gid://shopify/Collection/634661503341,Automatic Transmission | 2001-2004 GM 6.6 Duramax LB7,c-276-2001-04-66l-lb7-gm-duramax-automatic-transmission,Automatic Transmission,automatic transmission,2001-2004 GM 6.6 Duramax LB7,2001,2004,gm,duramax,,
634659832173,gid://shopify/Collection/634659832173,Automatic Transmission | 2003-2007 Ford 6.0 Powerstroke,c-248-automatic-transmission,Automatic Transmission,automatic transmission,2003-2007 Ford 6.0 Powerstroke,2003,2007,ford,powerstroke,,
634657800557,gid://shopify/Collection/634657800557,Automatic Transmission | 2003-2004 Ram 5.9 Cummins,c-153-2003-04-59l-dodge-cummins-automatic-transmission,Automatic Transmission,automatic transmission,2003-2004 Ram 5.9 Cummins,2003,2004,ram,cummins,,
634662027629,gid://shopify/Collection/634662027629,Automatic Transmission | 2004.5-2005 GM 6.6 Duramax LLY,c-294-20045-05-66l-lly-gm-duramax-transmission,Automatic Transmission,automatic transmission,2004.5-2005 GM 6.6 Duramax LLY,2004.5,2005,gm,duramax,,
634659045741,gid://shopify/Collection/634659045741,Automatic Transmission | 2004.5-2007 Ram 5.9 Cummins,c-176-20045-07-59l-dodge-cummins-automatic-transmission-components,Automatic Transmission,automatic transmission,2004.5-2007 Ram 5.9 Cummins,2004.5,2007,ram,cummins,,
634661798253,gid://shopify/Collection/634661798253,Automatic Transmission | 2006-2007 GM 6.6 Duramax LLY / LBZ,c-310-transmission-complete-replacements-torque-converters-pans-coolers-etc-gm-duramax-llylbz,Automatic Transmission,automatic transmission,2006-2007 GM 6.6 Duramax LLY / LBZ,2006,2007,gm,duramax,,
