vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
Fleece Performance Engineering,Fleece Performance Engineering,magento_catalogsearch,,http_first,low,detected,FPE-34560,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Fleece Performance Engineering,Fleece Performance Engineering,magento_catalogsearch,,http_first,low,detected,FPE-CP3X2,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Fleetguard Filters,Fleetguard Filters,magento_catalogsearch,,http_first,low,detected,FG-FS19856,fail X,,No SKU-specific product result found from search page. https://fleet-reliable-filters.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://fleet-reliable-filters.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Fleetguard Filters,Fleetguard Filters,magento_catalogsearch,,http_first,low,detected,FG-LF9028,fail X,,No SKU-specific product result found from search page. https://fleet-reliable-filters.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://fleet-reliable-filters.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Flex-A-Lite,Flex-A-Lite,magento_catalogsearch,,http_first,low,verified,FAL-103961,fail X,,https://flex-a-lite.com/catalogsearch/result/?q=FAL-103961 (HTTP 403),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Flex-A-Lite,Flex-A-Lite,magento_catalogsearch,,http_first,low,verified,FAL-104641,fail X,,https://flex-a-lite.com/catalogsearch/result/?q=FAL-104641 (HTTP 403),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
KC HiLiTES,KC HiLiTES,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,KC-238,fail X,,No SKU-specific product result found from search page. https://www.kchilites.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.kchilites.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
KC HiLiTES,KC HiLiTES,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,KC-490,success check,"title, description_html, media_urls, barcode, vendor, media_local_files",,search_seed,https://www.kchilites.com/4-driving-light-system-55w-kc-490.html,"4"" Rally 400 Halogen - 2-Light System - 55W Spread Beam","4"" Rally 400 Halogen - 2-Light System - 55W Spread Beam",Lighting,Motor Vehicle Lighting,Lighting,Bulbs,yes,0,,highmileageclub,yes,,,,
Mishimoto,Mishimoto,magento_catalogsearch,,http_first,low,detected,MISH-R13296,success check,"title, media_urls, vendor, media_local_files",,,https://www.mishimoto.com/catalogsearch/result/?q=MISH-R13296,Mishimoto,Mishimoto,,Motor Vehicle Parts,,,,0,,,,,,,
Mishimoto,Mishimoto,magento_catalogsearch,,http_first,low,detected,MISH-R1553,success check,"title, media_urls, vendor, media_local_files",,,https://www.mishimoto.com/catalogsearch/result/?q=MISH-R1553,Mishimoto,Mishimoto,,Motor Vehicle Parts,,,,0,,,,,,,
Nemesis Industries,Nemesis Industries,magento_catalogsearch,,http_first,low,detected,NEM-121840,fail X,,https://nem-ind.com/catalogsearch/result/?q=NEM-121840 (HTTP 404),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Nemesis Industries,Nemesis Industries,magento_catalogsearch,,http_first,low,detected,NEM-121841,fail X,,https://nem-ind.com/catalogsearch/result/?q=NEM-121841 (HTTP 404),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,magento_catalogsearch,,http_first,low,verified,NOS-02519NOS,fail X,,https://www.noswizard.com/catalogsearch/result/?q=NOS-02519NOS (Remote end closed connection without response),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
